id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,v_score_text,in_custody,out_custody,two_year_recid
1742,Male,20,Less than 25,Other,0,4,0,0,0,M,Burglary Dwelling Occupied,1,0,Risk of Recidivism,Low,Risk of Violence,7,Medium,8/15/13,8/27/13,1
1746,Male,25,25 - 45,Caucasian,0,3,0,0,1,M,Possess Cannabis/20 Grams Or Less,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,10/6/13,1/21/14,1
1747,Male,31,25 - 45,Caucasian,0,5,0,0,3,M,Resist/Obstruct W/O Violence,0,0,Risk of Recidivism,Medium,Risk of Violence,7,Medium,5/21/14,5/28/14,0
1749,Female,62,Greater than 45,Caucasian,0,1,0,0,0,M,Lve/Scen/Acc/Veh/Prop/Damage,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,10/3/13,10/3/13,0
1750,Male,23,Less than 25,Caucasian,0,3,0,0,0,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,4/25/15,4/28/15,1
1752,Female,60,Greater than 45,Caucasian,0,7,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,3/20/13,4/2/13,0
1754,Male,35,25 - 45,Caucasian,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/2/14,3/3/14,0
1755,Female,24,Less than 25,African-American,0,7,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,10/6/13,10/7/13,0
1756,Female,56,Greater than 45,Caucasian,0,2,0,0,1,F,arrest case no charge,1,1,Risk of Recidivism,Low,Risk of Violence,1,Low,8/24/14,9/4/14,1
1757,Male,30,25 - 45,Caucasian,0,1,0,0,0,M,Driving Under The Influence,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,4/26/13,4/26/13,0
1759,Male,41,25 - 45,Caucasian,0,9,0,0,17,M,Driving License Suspended,1,1,Risk of Recidivism,High,Risk of Violence,6,Medium,7/5/13,8/21/13,1
1760,Male,35,25 - 45,Caucasian,0,5,0,0,4,F,Felony Driving While Lic Suspd,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,8/6/15,10/23/15,1
1764,Female,28,25 - 45,Caucasian,0,4,0,0,0,M,Intoxicated/Safety Of Another,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,12/17/13,12/17/13,0
1765,Male,23,Less than 25,African-American,0,10,1,0,1,M,Gambling/Gamb Paraphernalia,0,0,Risk of Recidivism,High,Risk of Violence,8,High,8/8/15,8/12/15,0
1768,Male,56,Greater than 45,African-American,0,1,0,0,0,F,Neglect/Abuse Elderly Person,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,10/1/13,10/2/13,0
1770,Male,23,Less than 25,African-American,0,2,0,0,2,F,Traffick Amphetamine 28g><200g,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,2/19/14,2/20/14,1
1771,Male,20,Less than 25,Hispanic,0,3,0,0,0,F,Burglary Unoccupied Dwelling,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,7/26/14,9/6/14,1
1772,Male,37,25 - 45,Hispanic,0,2,1,0,4,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,,,0
1774,Male,23,Less than 25,Caucasian,0,2,1,0,1,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,3/28/14,3/29/14,0
1776,Male,21,Less than 25,African-American,0,9,0,0,0,F,Burglary Unoccupied Dwelling,1,0,Risk of Recidivism,High,Risk of Violence,9,High,4/29/13,5/2/13,1
1777,Female,21,Less than 25,African-American,1,7,2,2,3,F,Grand Theft In The 3Rd Degree,1,1,Risk of Recidivism,Medium,Risk of Violence,8,High,7/16/14,9/13/14,0
1780,Female,35,25 - 45,African-American,0,5,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,9/5/13,9/19/13,0
1781,Male,33,25 - 45,Caucasian,0,3,0,0,3,M,Susp Drivers Lic 1st Offense,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,3/30/13,3/30/13,0
1783,Male,21,Less than 25,Hispanic,0,4,0,0,0,F,Uttering a Forged Instrument,0,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,9/2/15,10/10/15,0
1786,Male,41,25 - 45,African-American,2,9,1,0,9,M,Poss Of Controlled Substance,1,0,Risk of Recidivism,High,Risk of Violence,5,Medium,9/27/15,9/28/15,0
1787,Male,24,Less than 25,African-American,0,5,0,0,0,F,Burglary Conveyance Unoccup,0,0,Risk of Recidivism,Medium,Risk of Violence,7,Medium,10/13/13,10/17/13,0
1788,Male,20,Less than 25,Hispanic,0,10,0,0,2,F,Burglary Conveyance Unoccup,1,0,Risk of Recidivism,High,Risk of Violence,10,High,12/17/15,1/1/20,1
1791,Male,28,25 - 45,African-American,0,8,0,0,9,F,"Poss3,4 Methylenedioxymethcath",1,0,Risk of Recidivism,High,Risk of Violence,4,Low,1/10/14,1/11/14,1
1792,Male,25,25 - 45,Native American,0,9,0,0,7,F,Burglary Conveyance Assault/Bat,1,1,Risk of Recidivism,High,Risk of Violence,6,Medium,2/22/15,2/28/15,0
1794,Male,49,Greater than 45,African-American,0,2,0,0,3,F,Possession of Cocaine,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/13/13,4/14/13,0
1795,Female,22,Less than 25,Hispanic,0,6,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,4/24/13,4/24/13,0
1796,Male,21,Less than 25,African-American,0,3,0,0,0,F,Burglary Conveyance Unoccup,1,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,11/15/13,11/17/13,1
1797,Female,27,25 - 45,African-American,0,9,0,0,3,F,Grand Theft (Motor Vehicle),1,1,Risk of Recidivism,High,Risk of Violence,6,Medium,6/28/15,7/21/15,1
1798,Male,32,25 - 45,African-American,0,7,0,0,4,F,arrest case no charge,1,1,Risk of Recidivism,Medium,Risk of Violence,6,Medium,8/19/14,2/26/15,1
1800,Male,50,Greater than 45,African-American,0,5,0,0,4,M,Assault,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,12/23/13,12/25/13,0
1801,Female,23,Less than 25,African-American,0,3,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,1/28/14,1/28/14,0
1803,Male,34,25 - 45,Caucasian,0,4,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/4/14,1/5/14,0
1804,Male,35,25 - 45,African-American,0,4,0,0,1,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,,,0
1805,Male,25,25 - 45,African-American,0,5,0,1,4,F,Robbery / No Weapon,1,0,Risk of Recidivism,Medium,Risk of Violence,4,Low,1/13/13,2/15/13,1
1806,Female,33,25 - 45,Caucasian,0,5,0,0,2,F,Criminal Mischief,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,3/3/13,4/15/13,1
1809,Male,25,25 - 45,Other,0,4,0,0,1,M,Battery,1,1,Risk of Recidivism,Low,Risk of Violence,6,Medium,8/12/13,10/9/13,1
1810,Male,30,25 - 45,Hispanic,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,11/2/13,11/3/13,0
1815,Male,42,25 - 45,Native American,0,2,0,0,0,M,Driving License Suspended,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/9/13,2/12/13,0
1816,Female,29,25 - 45,Caucasian,0,10,0,0,11,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,5,Medium,2/17/15,2/19/15,1
1817,Female,32,25 - 45,African-American,0,4,0,0,6,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,8/5/13,8/9/13,1
1819,Male,24,Less than 25,Other,0,6,0,0,5,F,Possession of Cannabis,0,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,10/1/13,10/2/13,0
1820,Male,52,Greater than 45,African-American,0,1,0,0,3,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,12/15/14,12/15/14,0
1821,Female,26,25 - 45,Caucasian,0,3,0,0,3,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,1/12/14,1/13/14,0
1822,Male,31,25 - 45,Caucasian,0,3,0,0,2,F,Possession of Cocaine,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,12/12/14,1/22/15,1
1823,Male,38,25 - 45,Hispanic,0,1,0,0,0,F,Felony Battery (Dom Strang),0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/31/13,4/1/13,0
1826,Male,47,Greater than 45,Caucasian,0,1,0,0,2,M,Driving License Suspended,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,,,0
1827,Male,25,25 - 45,African-American,0,7,0,0,5,F,arrest case no charge,0,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,11/14/13,1/10/14,0
1829,Female,30,25 - 45,Caucasian,0,5,0,0,0,F,Possession of Cocaine,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,3/14/13,3/15/13,0
1830,Male,20,Less than 25,African-American,0,10,0,0,0,M,Battery,1,1,Risk of Recidivism,High,Risk of Violence,10,High,10/19/14,11/3/14,1
1832,Female,29,25 - 45,African-American,0,10,0,0,2,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,High,Risk of Violence,10,High,3/14/13,3/16/13,0
1833,Male,24,Less than 25,Asian,0,3,0,0,0,F,Unauth Poss ID Card or DL,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,3/24/13,3/25/13,0
1834,Male,31,25 - 45,Caucasian,0,4,0,0,0,F,Del of JWH-250 2-Methox 1-Pentyl,0,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,2/20/13,5/9/13,0
1840,Female,54,Greater than 45,Caucasian,0,2,0,0,12,F,Purchasing Of Alprazolam,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/1/13,9/19/13,0
1841,Female,37,25 - 45,Caucasian,0,3,0,0,1,M,Driving Under The Influence,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/27/13,1/28/13,0
1843,Male,43,25 - 45,Hispanic,0,2,0,0,0,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,5/29/14,5/29/14,1
1844,Male,49,Greater than 45,Caucasian,0,6,0,0,8,F,Felony DUI (level 3),1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,8/26/13,8/30/13,1
1845,Female,33,25 - 45,African-American,0,2,0,0,1,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/25/13,2/26/13,0
1846,Male,20,Less than 25,African-American,0,9,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,High,Risk of Violence,8,High,1/3/14,3/27/14,0
1847,Male,42,25 - 45,African-American,0,1,0,0,0,M,Leaving Acc/Unattended Veh,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,6/13/13,7/12/13,0
1848,Male,44,25 - 45,Caucasian,0,2,0,0,0,F,Unauthorized Interf w/Railroad,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,5/20/15,6/2/15,1
1849,Male,28,25 - 45,African-American,0,6,0,0,5,F,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,1/28/15,4/4/15,1
1850,Male,32,25 - 45,African-American,0,6,0,0,4,F,arrest case no charge,1,1,Risk of Recidivism,Medium,Risk of Violence,7,Medium,4/3/14,12/18/14,1
1852,Male,28,25 - 45,African-American,0,7,0,0,7,F,Aggravated Assault W/Dead Weap,1,1,Risk of Recidivism,Medium,Risk of Violence,6,Medium,8/16/14,8/18/14,1
1853,Male,38,25 - 45,Caucasian,0,4,0,0,0,F,Aggravated Assault W/dead Weap,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/14/13,7/22/13,0
1854,Male,38,25 - 45,African-American,0,4,0,0,3,F,Manufacture Cannabis,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/7/13,2/8/13,0
1856,Male,21,Less than 25,Caucasian,0,4,0,0,1,F,Battery on Law Enforc Officer,0,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,5/8/13,5/9/13,0
1859,Female,34,25 - 45,African-American,0,3,0,0,0,M,Battery,1,1,Risk of Recidivism,Low,Risk of Violence,2,Low,8/11/15,10/22/15,0
1860,Male,21,Less than 25,Caucasian,0,6,0,0,1,F,Possession of Cannabis,1,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,2/17/14,4/25/14,1
1861,Male,36,25 - 45,African-American,0,8,0,0,1,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,4,Low,10/13/13,12/20/13,1
1862,Male,29,25 - 45,African-American,0,2,0,0,0,M,Aggravated Battery,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,11/4/14,11/24/14,1
1863,Male,34,25 - 45,African-American,0,6,0,1,3,F,Possession of Cocaine,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,6/12/14,6/13/14,1
1864,Male,38,25 - 45,African-American,0,2,0,0,1,M,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/21/13,3/1/13,0
1865,Male,36,25 - 45,Caucasian,0,1,0,0,0,F,False Imprisonment,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,11/19/13,12/14/13,0
1866,Male,32,25 - 45,Hispanic,0,2,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,12/28/13,1/3/14,0
1868,Male,23,Less than 25,African-American,0,9,0,0,0,M,Battery,0,0,Risk of Recidivism,High,Risk of Violence,8,High,5/21/13,5/22/13,0
1869,Male,47,Greater than 45,Caucasian,0,1,0,0,0,M,DUI Property Damage/Injury,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,9/20/13,9/21/13,0
1870,Male,20,Less than 25,African-American,0,3,0,0,0,F,Carrying Concealed Firearm,0,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,10/28/13,10/28/13,0
1871,Female,25,25 - 45,African-American,0,8,0,0,2,F,Battery on Law Enforc Officer,1,0,Risk of Recidivism,High,Risk of Violence,8,High,6/18/14,7/11/14,1
1872,Male,35,25 - 45,African-American,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,10/31/13,11/1/13,0
1873,Female,30,25 - 45,Caucasian,0,3,0,0,1,F,Possession Of Lorazepam,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,7/20/13,8/31/13,0
1874,Female,28,25 - 45,Caucasian,0,4,0,0,1,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,2/12/14,2/13/14,0
1875,Male,30,25 - 45,Caucasian,0,8,0,0,2,M,Restraining Order Dating Viol,1,0,Risk of Recidivism,High,Risk of Violence,2,Low,3/31/14,4/10/14,1
1876,Female,45,Greater than 45,Caucasian,0,3,0,0,3,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,7/8/14,8/21/14,0
1877,Male,24,Less than 25,African-American,0,5,0,0,2,M,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,12/1/15,12/2/15,1
1879,Male,22,Less than 25,African-American,0,9,0,0,0,F,Felony Battery (Dom Strang),0,0,Risk of Recidivism,High,Risk of Violence,9,High,1/14/13,1/15/13,0
1880,Male,20,Less than 25,Other,0,10,8,1,8,F,Driving While License Revoked,1,1,Risk of Recidivism,High,Risk of Violence,8,High,11/13/13,11/13/13,1
1881,Female,42,25 - 45,African-American,0,1,0,0,0,M,Battery,1,1,Risk of Recidivism,Low,Risk of Violence,1,Low,9/30/13,10/2/13,1
1882,Male,24,Less than 25,African-American,1,9,1,0,8,F,arrest case no charge,1,1,Risk of Recidivism,High,Risk of Violence,10,High,11/22/13,12/4/13,1
1883,Male,40,25 - 45,Hispanic,0,1,0,0,0,M,Solic to Commit Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/10/14,2/10/14,0
1884,Male,27,25 - 45,Other,0,4,0,0,1,F,Felony Battery (Dom Strang),0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,12/28/13,1/3/14,0
1886,Male,60,Greater than 45,African-American,0,3,0,0,12,F,Driving While License Revoked,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,6/16/14,6/18/14,0
1888,Male,33,25 - 45,African-American,0,5,0,0,6,M,Battery,0,0,Risk of Recidivism,Medium,Risk of Violence,4,Low,3/8/13,3/26/13,0
1890,Male,34,25 - 45,African-American,0,4,0,0,2,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,2/9/15,2/10/15,1
1893,Male,24,Less than 25,Caucasian,0,8,0,0,4,M,Battery,0,0,Risk of Recidivism,High,Risk of Violence,4,Low,8/16/13,8/21/13,0
1894,Male,27,25 - 45,African-American,0,2,0,0,0,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,8/10/13,8/12/13,1
1895,Male,29,25 - 45,African-American,1,10,1,1,4,F,Carjacking with a Firearm,1,1,Risk of Recidivism,High,Risk of Violence,9,High,2/7/13,1/28/14,1
1897,Male,21,Less than 25,Caucasian,1,7,0,1,1,F,Deliver Cannabis,1,0,Risk of Recidivism,Medium,Risk of Violence,8,High,5/22/13,5/24/13,1
1899,Male,32,25 - 45,Hispanic,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/6/13,3/7/13,0
1900,Male,30,25 - 45,Caucasian,0,5,0,0,10,F,arrest case no charge,1,1,Risk of Recidivism,Medium,Risk of Violence,2,Low,7/7/13,10/24/13,1
1901,Female,42,25 - 45,Caucasian,0,1,0,0,0,F,Possession of Cocaine,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,8/26/13,10/9/13,1
1904,Male,32,25 - 45,African-American,0,4,0,0,1,F,Felony Driving While Lic Suspd,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,1/16/13,1/16/13,0
1905,Male,27,25 - 45,Other,0,1,0,0,0,F,Robbery / Weapon,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,3/26/13,4/5/13,0
1906,Male,30,25 - 45,Caucasian,0,4,0,0,3,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,3/26/13,3/27/13,0
1907,Male,22,Less than 25,African-American,0,3,0,0,1,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,8/13/14,8/14/14,1
1908,Male,20,Less than 25,Caucasian,0,10,0,0,0,M,Battery,1,0,Risk of Recidivism,High,Risk of Violence,9,High,8/26/15,8/26/15,1
1909,Male,57,Greater than 45,Caucasian,0,2,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,10/5/13,10/6/13,0
1910,Male,51,Greater than 45,Caucasian,0,1,0,0,3,F,Felony Battery (Dom Strang),1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,10/3/13,10/4/13,1
1913,Male,21,Less than 25,African-American,0,4,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,3/24/14,3/25/14,0
1914,Male,22,Less than 25,African-American,0,5,0,0,0,F,Grand Theft (Motor Vehicle),0,0,Risk of Recidivism,Medium,Risk of Violence,7,Medium,6/2/15,7/3/15,0
1915,Male,35,25 - 45,African-American,0,8,0,0,4,F,Tampering With Physical Evidence,1,0,Risk of Recidivism,High,Risk of Violence,3,Low,4/18/13,4/7/14,1
1916,Female,54,Greater than 45,Caucasian,0,2,0,0,1,F,Battery Emergency Care Provide,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,3/14/13,5/29/13,0
1917,Male,58,Greater than 45,Caucasian,0,3,0,0,2,F,Battery on Law Enforc Officer,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,10/12/13,10/17/13,0
1919,Female,32,25 - 45,Caucasian,0,1,0,0,0,F,Child Abuse,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,11/10/13,11/11/13,1
1921,Female,39,25 - 45,African-American,0,6,0,0,22,F,Possession of Cocaine,1,0,Risk of Recidivism,Medium,Risk of Violence,1,Low,3/14/14,4/7/14,1
1923,Male,30,25 - 45,Caucasian,0,6,0,0,9,M,Petit Theft,1,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,2/23/14,3/25/14,1
1924,Male,20,Less than 25,African-American,0,10,0,0,0,F,Burglary Unoccupied Dwelling,1,1,Risk of Recidivism,High,Risk of Violence,10,High,6/26/15,11/10/15,1
1925,Male,40,25 - 45,Other,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,1/5/13,1/6/13,0
1926,Female,45,Greater than 45,Caucasian,0,2,0,0,5,M,DUI - Enhanced,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,7/1/13,7/1/13,0
1927,Male,31,25 - 45,African-American,0,3,0,0,4,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,4,Low,4/11/14,4/17/14,1
1928,Male,23,Less than 25,Hispanic,0,9,0,0,4,F,Possession Of Alprazolam,0,0,Risk of Recidivism,High,Risk of Violence,8,High,4/22/14,4/29/14,0
1929,Male,26,25 - 45,Hispanic,0,5,0,0,0,M,Petit Theft,1,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,3/30/15,4/6/15,1
1930,Female,53,Greater than 45,Caucasian,0,3,0,0,1,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/16/13,4/17/13,0
1931,Male,44,25 - 45,Caucasian,0,1,0,0,0,M,Possession of Cannabis,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/6/14,2/8/14,0
1938,Female,44,25 - 45,Caucasian,0,5,0,0,1,M,Driving Under The Influence,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,6/16/14,6/16/14,0
1939,Male,21,Less than 25,Caucasian,0,2,0,0,0,F,Obstruct Fire Equipment,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,10/6/15,10/12/15,1
1941,Male,28,25 - 45,African-American,0,1,0,0,0,M,DUI Property Damage/Injury,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,8/7/13,8/7/13,0
1942,Male,28,25 - 45,Caucasian,0,1,0,0,2,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/12/13,2/13/13,0
1943,Male,24,Less than 25,African-American,0,3,0,0,0,F,Possession Burglary Tools,1,0,Risk of Recidivism,Low,Risk of Violence,4,Low,5/24/13,11/22/13,1
1945,Male,28,25 - 45,African-American,0,2,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,8/9/13,8/9/13,0
1948,Male,53,Greater than 45,Caucasian,0,1,0,0,4,F,Possession of Cocaine,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,6/14/13,6/15/13,0
1949,Male,47,Greater than 45,Hispanic,0,5,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,3/27/13,9/27/13,0
1951,Male,20,Less than 25,African-American,0,3,0,0,1,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,3/3/14,3/4/14,0
1952,Male,21,Less than 25,African-American,0,6,0,0,0,M,Culpable Negligence,0,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,11/29/13,11/29/13,0
1953,Male,30,25 - 45,Other,0,2,0,0,1,F,Aggravated Assault W/Dead Weap,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,12/13/14,12/14/14,1
1954,Male,37,25 - 45,Caucasian,0,1,0,0,1,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/21/15,2/22/15,1
1955,Male,60,Greater than 45,Hispanic,0,1,0,0,1,F,Aggravated Assault W/dead Weap,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/19/13,5/7/13,0
1956,Male,26,25 - 45,Hispanic,0,2,0,0,1,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,1/23/15,1/24/15,1
1957,Male,30,25 - 45,Caucasian,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,5/10/13,5/11/13,0
1961,Male,26,25 - 45,Caucasian,0,8,0,0,2,F,arrest case no charge,1,0,Risk of Recidivism,High,Risk of Violence,4,Low,4/23/13,4/24/13,1
1965,Female,26,25 - 45,African-American,0,9,0,0,5,F,Poss Pyrrolidinovalerophenone,1,1,Risk of Recidivism,High,Risk of Violence,6,Medium,10/19/14,10/26/14,1
1966,Male,21,Less than 25,Hispanic,0,5,0,0,0,F,Possession of Cocaine,0,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,9/7/13,9/9/13,0
1967,Female,39,25 - 45,African-American,0,2,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/11/16,1/1/20,0
1968,Male,30,25 - 45,Other,0,2,0,0,0,F,Felony Battery (Dom Strang),0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/24/13,3/2/13,0
1971,Male,44,25 - 45,African-American,0,5,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,5/27/15,6/7/15,0
1972,Male,45,Greater than 45,Caucasian,0,2,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,9/7/13,9/10/13,0
1974,Male,30,25 - 45,African-American,0,1,0,0,1,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,7/26/15,7/30/15,0
1975,Male,38,25 - 45,Asian,0,1,0,0,2,F,Aggravated Assault W/Dead Weap,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,12/3/13,12/11/13,0
1976,Male,23,Less than 25,Caucasian,0,5,0,0,6,F,Deliver Cannabis,1,0,Risk of Recidivism,Medium,Risk of Violence,4,Low,9/22/14,9/23/14,1
1980,Male,37,25 - 45,African-American,0,4,0,0,1,F,Possession of Cannabis,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,5/23/13,6/28/13,0
1982,Male,46,Greater than 45,Asian,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,12/25/13,12/26/13,0
1983,Male,42,25 - 45,African-American,0,1,0,0,0,F,Felony Driving While Lic Suspd,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,12/19/13,12/20/13,0
1984,Female,20,Less than 25,African-American,0,8,0,0,0,F,Uttering a Forged Instrument,1,0,Risk of Recidivism,High,Risk of Violence,7,Medium,9/24/14,10/6/14,1
1985,Male,65,Greater than 45,Caucasian,0,1,0,0,2,M,Resist/Obstruct W/O Violence,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/22/13,4/26/13,0
1987,Male,54,Greater than 45,Caucasian,0,2,0,0,4,M,Criminal Mischief>$200<$1000,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/10/13,2/13/13,0
1990,Male,47,Greater than 45,African-American,0,1,0,0,7,F,Felony Driving While Lic Suspd,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,7/18/15,7/19/15,1
1991,Male,39,25 - 45,African-American,0,9,0,0,5,F,Felony Battery w/Prior Convict,1,0,Risk of Recidivism,High,Risk of Violence,6,Medium,11/1/14,11/26/14,1
